review_id,platform,rating,date,category,severity,quote
R001,ios,2,2026-05-12,performance,4,После последнего обновления приложение открывается почти минуту и часто зависает на экране бюджета.
R001,ios,2,2026-05-12,design,4,После последнего обновления приложение открывается почти минуту и часто зависает на экране бюджета.
R002,android,1,2026-05-10,reliability,5,"Два раза за неделю пропала синхронизация с банком, операции появились только после ручного обновления."
R003,rustore,3,2026-05-09,design,3,"Интерфейс стал аккуратнее, но кнопка добавления расхода спрятана слишком глубоко."
R004,ios,2,2026-05-06,price,4,"Подписка подорожала, а семейный доступ так и не появился."
R005,android,1,2026-05-05,ads,4,Реклама всплывает сразу после входа и перекрывает баланс.
R006,ios,4,2026-05-02,performance,2,"Единственное раздражает, что темная тема иногда сбрасывается после перезапуска."
R006,ios,4,2026-05-02,design,2,Нравится чистый дизайн и понятные графики по категориям.
R007,android,2,2026-04-29,support,4,Чат поддержки ответил через три дня и прислал шаблонную инструкцию.
R007,android,2,2026-04-29,reliability,4,Проблему с дублированием операций мне пришлось решать самому.
R008,rustore,2,2026-04-27,reliability,4,Приложение вылетает при попытке прикрепить чек к расходу.
R009,ios,5,2026-04-25,performance,2,"Быстро добавляю траты голосом, распознавание работает почти без ошибок."
R010,android,3,2026-04-24,design,3,"В целом приложение полезное, но стартовый экран перегружен карточками и акциями."
R010,android,3,2026-04-24,ads,3,"В целом приложение полезное, но стартовый экран перегружен карточками и акциями."
R011,ios,2,2026-04-21,support,4,"Поддержка говорит, что это рекомендации, но выглядят они как обычная реклама."
R011,ios,2,2026-04-21,price,4,"После оплаты премиума реклама не исчезла полностью, остались промо-карточки партнеров."
R011,ios,2,2026-04-21,ads,4,"После оплаты премиума реклама не исчезла полностью, остались промо-карточки партнеров."
R012,android,1,2026-04-20,reliability,5,"Не пришел код входа, а повторная отправка стала доступна только через десять минут."
R013,rustore,4,2026-04-18,price,2,Хотелось бы дешевле годовой тариф для студентов.
R014,ios,2,2026-04-17,performance,4,После обновления приложение стало сильно греть телефон и быстро сажать батарею.
R015,android,3,2026-04-16,design,3,"Крупные шрифты помогают, но часть подписей обрезается на маленьком экране."
R015,android,3,2026-04-16,price,3,"Крупные шрифты помогают, но часть подписей обрезается на маленьком экране."
R016,ios,1,2026-04-13,performance,5,Экспорт отчета завис на 72 процентах и файл так и не сформировался.
R016,ios,1,2026-04-13,price,4,Платить за премиум без стабильного экспорта бессмысленно.
R017,android,2,2026-04-11,support,4,"Оператор поддержки попросил скриншоты, а потом неделю не возвращался с ответом."
R018,rustore,3,2026-04-09,price,3,"Для теста приложения этого мало, приходится сразу решать про подписку."
R019,ios,2,2026-04-07,reliability,4,Уведомления о превышении бюджета приходят с задержкой на несколько часов.
R020,android,4,2026-04-05,performance,2,"После последнего патча запуск стал быстрее, экран операций открывается почти сразу."
R020,android,4,2026-04-05,design,2,"После последнего патча запуск стал быстрее, экран операций открывается почти сразу."
R020,android,4,2026-04-05,ads,2,Но рекламный баннер внизу все еще отвлекает.
R021,ios,1,2026-04-02,reliability,5,Приложение дважды создало одинаковые расходы после синхронизации.
R022,android,3,2026-03-31,design,3,"Цвета графиков красивые, но легенда слишком мелкая."
R023,rustore,2,2026-03-29,support,4,Поддержка не смогла ускорить процесс и посоветовала ждать.
R024,ios,2,2026-03-27,price,4,"Цена премиума выглядит завышенной, потому что часть функций все равно спрятана за отдельными пакетами."
R025,android,1,2026-03-26,ads,4,"Видео-реклама включилась со звуком в метро, когда я открывал баланс."
R026,ios,4,2026-03-24,performance,2,Хотелось бы быстрее получать ответ по вопросам импорта.
R026,ios,4,2026-03-24,support,2,Хотелось бы быстрее получать ответ по вопросам импорта.
R027,android,2,2026-03-22,performance,4,На старом смартфоне экран бюджета прокручивается рывками.
R027,android,2,2026-03-22,design,4,На старом смартфоне экран бюджета прокручивается рывками.
R028,rustore,3,2026-03-20,design,3,"В приложении много полезных отчетов, но навигация между ними запутанная."
R029,ios,1,2026-03-18,reliability,5,После переустановки пропали пользовательские категории.
R030,android,2,2026-03-16,performance,4,"Это ломает сценарий, когда быстро заносишь несколько покупок подряд."
R030,android,2,2026-03-16,price,4,"Это ломает сценарий, когда быстро заносишь несколько покупок подряд."
R030,android,2,2026-03-16,ads,4,В бесплатной версии реклама появляется после каждого третьего действия.
R031,ios,3,2026-03-15,design,3,"Экран подписки объясняет тарифы понятнее, чем раньше."
R031,ios,3,2026-03-15,price,3,"Экран подписки объясняет тарифы понятнее, чем раньше."
R032,android,2,2026-03-12,performance,4,Сканер чеков часто зависает на обработке фотографии.
R033,rustore,4,2026-03-10,support,2,Поддержка помогла перенести данные со старого телефона за один вечер.
R033,rustore,4,2026-03-10,price,2,"После этого я оставил подписку, хотя цена все равно кажется высокой."
R034,ios,2,2026-03-08,design,4,"Главный экран после редизайна стал красивым, но важные суммы находятся ниже рекламного блока."
R034,ios,2,2026-03-08,ads,4,"Главный экран после редизайна стал красивым, но важные суммы находятся ниже рекламного блока."
R035,android,1,2026-03-06,reliability,5,Приложение не сохранило расход после потери сети.
R036,ios,3,2026-03-04,design,2,"Виджеты удобные, но обновляются не сразу."
R037,android,2,2026-03-02,support,4,"Подписку отменить сложно: ссылка спрятана в настройках, а инструкция в FAQ устарела."
R037,android,2,2026-03-02,price,4,"Подписку отменить сложно: ссылка спрятана в настройках, а инструкция в FAQ устарела."
R038,rustore,4,2026-02-28,performance,2,"Если бы еще приложение быстрее запускалось на слабых телефонах, поставил бы пять."
R038,rustore,4,2026-02-28,ads,2,"Мне нравится, что реклама внизу не мешает отчетам."
R039,ios,2,2026-02-25,support,4,"Поддержка признала ошибку, но срок исправления не назвала."
R039,ios,2,2026-02-25,reliability,4,"Поддержка признала ошибку, но срок исправления не назвала."
R040,android,3,2026-02-22,design,3,"После каждого отчета появляется экран покупки, и это утомляет."
R040,android,3,2026-02-22,price,3,"Приложение полезное для контроля расходов, но слишком часто предлагает премиум."
R040,android,3,2026-02-22,ads,3,"После каждого отчета появляется экран покупки, и это утомляет."
